grp	experience	cnt
above	BUXIAN	439191
above	GRADUATING	4352
above	LESS_THAN_1	86509
above	LESS_THAN_10	409993
above	LESS_THAN_3	746111
above	LESS_THAN_5	716848
above	MORE_THAN_10	54242
above	ON_CAMPUS	4842
above	WEWER23	149
core	BUXIAN	549321
core	GRADUATING	994
core	LESS_THAN_1	140261
core	LESS_THAN_10	231034
core	LESS_THAN_3	1115735
core	LESS_THAN_5	615822
core	MORE_THAN_10	24061
core	ON_CAMPUS	1336
core	WEWER23	27
wide_rest	BUXIAN	2393874
wide_rest	GRADUATING	490
wide_rest	LESS_THAN_1	267631
wide_rest	LESS_THAN_10	162618
wide_rest	LESS_THAN_3	1150996
wide_rest	LESS_THAN_5	478643
wide_rest	MORE_THAN_10	21294
wide_rest	ON_CAMPUS	624
wide_rest	WEWER23	1
