grp	data_source	cnt
above	BOSS直聘	2121319
above	前程无忧	245767
above	(NULL)	68490
above	河北医科大学就业信息网	7142
above	智联招聘	6345
above	河北经贸大学经济管理学院	2592
above	河北中医药大学就业信息网(1)	1933
above	河北工程大学科信学院就业信息网	1304
above	河北中医药大学就业信息网	1059
above	河北传媒学院就业创业信息网	960
above	河北省人才网	845
above	全域智慧就业咨询服务平台	759
above	河北建材职业技术学院就业网	494
above	河北师范大学就业信息网	427
above	廊坊师范学院就业信息网	386
above	河北经贸大学就业信息网	341
above	秦皇岛职业技术学院就业网	316
above	华北科技学院就业信息网	258
above	河北化工医药职业技术学院就业信息网	246
above	唐山人才网	226
above	河北科技大学就业信息网	217
above	河北农业大学就业信息网	192
above	河北软件职业技术学院就业信息网	161
above	沧州市人才网	84
above	河北美术学院就业网	73
above	河北水利电力学院就业信息网	67
above	河北科技师范学院就业信息网	57
above	唐山师范学院就业信息网	37
above	衡水学院就业信息服务网	35
above	沧州交通学院就业信息网	33
above	沧州师范学院就业信息网	24
above	河北工业大学就业指导中心	17
above	河北民族师范学院就业信息网	14
above	河北石油职业技术大学就业信息网	8
above	张家口人才网 - zjkjob.com	6
above	河北北方学院就业信息网	2
above	唐山幼儿师范高等专科学校就业创业信息网	1
core	BOSS直聘	2399673
core	前程无忧	217896
core	(NULL)	32349
core	智联招聘	10401
core	河北建材职业技术学院就业网	3048
core	河北化工医药职业技术学院就业信息网	1996
core	秦皇岛职业技术学院就业网	1917
core	河北经贸大学经济管理学院	1858
core	河北传媒学院就业创业信息网	1813
core	河北医科大学就业信息网	1353
core	河北软件职业技术学院就业信息网	1093
core	河北工程大学科信学院就业信息网	1070
core	河北中医药大学就业信息网(1)	755
core	全域智慧就业咨询服务平台	753
core	河北中医药大学就业信息网	556
core	河北省人才网	418
core	唐山人才网	363
core	廊坊职业技术学院就业信息网	290
core	沧州医学高等专科学校就业信息网	253
core	石家庄职业技术学院就业信息网	99
core	沧州市人才网	89
core	华北科技学院就业信息网	83
core	河北科技大学就业信息网	70
core	河北美术学院就业网	52
core	东北大学秦皇岛分校就业信息网	48
core	张家口人才网 - zjkjob.com	44
core	衡水职业学院就业信息服务网	44
core	河北经贸大学就业信息网	38
core	石家庄信息工程职业学院就业信息网	29
core	石家庄医学高等专科学校就业信息网	27
core	沧州幼儿师范高等专科学校就业指导中心	17
core	河北农业大学就业信息网	16
core	河北水利电力学院就业信息网	15
core	河北体育学院就业信息网	12
core	河北石油职业技术大学就业信息网	11
core	唐山幼儿师范高等专科学校就业创业信息网	11
core	石家庄邮电职业技术学院就业信息网	8
core	唐山师范学院就业信息网	6
core	沧州交通学院就业信息网	5
core	衡水学院就业信息服务网	4
core	河北工业大学就业指导中心	3
core	河北北方学院就业信息网	3
core	沧州师范学院就业信息网	2
wide_rest	BOSS直聘	4298996
wide_rest	前程无忧	156568
wide_rest	(NULL)	16479
wide_rest	智联招聘	2703
wide_rest	唐山人才网	287
wide_rest	河北建材职业技术学院就业网	195
wide_rest	秦皇岛职业技术学院就业网	153
wide_rest	河北软件职业技术学院就业信息网	105
wide_rest	河北化工医药职业技术学院就业信息网	93
wide_rest	河北传媒学院就业创业信息网	91
wide_rest	全域智慧就业咨询服务平台	87
wide_rest	河北经贸大学经济管理学院	78
wide_rest	河北省人才网	70
wide_rest	河北工程大学科信学院就业信息网	46
wide_rest	河北中医药大学就业信息网(1)	45
wide_rest	河北医科大学就业信息网	37
wide_rest	河北中医药大学就业信息网	34
wide_rest	沧州市人才网	34
wide_rest	张家口人才网 - zjkjob.com	24
wide_rest	河北美术学院就业网	18
wide_rest	华北科技学院就业信息网	14
wide_rest	河北科技大学就业信息网	6
wide_rest	沧州交通学院就业信息网	4
wide_rest	河北经贸大学就业信息网	2
wide_rest	唐山师范学院就业信息网	1
wide_rest	河北石油职业技术大学就业信息网	1
