name	cnt_valid	median	p25	p75
室内设计	49272	6.71	5.13	8.41
平面设计	30395	4.74	3.83	5.88
新媒体运营	28144	5.63	4.43	7.22
口腔科医生	26012	8.26	5.40	12.26
护士	24617	3.81	3.14	4.89
视频剪辑	24589	5.24	4.17	6.43
国内电商运营	24078	6.01	4.55	7.68
医药代表	22022	7.43	6.11	9.95
项目经理/主管	21945	8.27	6.32	10.98
运维工程师	20010	5.77	4.54	7.35
质量管理/测试工程师	19940	6.66	5.03	9.11
汽车销售	19875	8.18	6.79	10.96
运营经理/主管	19277	7.22	5.47	9.74
电气工程师	19202	8.11	6.16	10.49
运营助理/专员	18996	4.77	3.79	6.03
跨境电商运营	17636	6.11	4.87	7.56
车间主任	15525	8.28	6.52	10.43
摄影/摄像师	15066	5.41	4.24	7.09
实验室技术员	14058	4.66	3.87	5.77
工艺工程师	13662	8.60	6.44	11.35
