name	rmid	cnt
医药代表	1.0	4
医药代表	1.5	19
医药代表	2.0	43
医药代表	2.5	229
医药代表	3.0	188
医药代表	3.5	485
医药代表	4.0	306
医药代表	4.5	775
医药代表	5.0	438
医药代表	5.5	1711
医药代表	6.0	851
医药代表	6.5	2055
医药代表	7.0	755
医药代表	7.5	3677
医药代表	8.0	1010
医药代表	8.5	1556
医药代表	9.0	513
医药代表	9.5	1297
医药代表	10.0	676
医药代表	10.5	1458
医药代表	11.0	93
医药代表	11.5	483
医药代表	12.0	44
医药代表	12.5	1683
医药代表	13.0	22
医药代表	13.5	67
医药代表	14.0	42
医药代表	14.5	38
医药代表	15.0	133
医药代表	15.5	158
医药代表	16.0	92
医药代表	16.5	91
医药代表	17.0	17
医药代表	17.5	255
医药代表	18.0	96
医药代表	18.5	24
医药代表	19.0	22
医药代表	19.5	10
医药代表	20.0	144
医药代表	20.5	12
医药代表	21.0	7
医药代表	21.5	4
医药代表	22.0	3
医药代表	22.5	227
医药代表	23.0	3
医药代表	23.5	4
医药代表	24.0	1
医药代表	24.5	1
医药代表	25.0	39
医药代表	25.5	10
医药代表	26.5	1
医药代表	27.0	1
医药代表	27.5	33
医药代表	28.5	3
医药代表	29.0	3
医药代表	30.0	41
医药代表	30.5	1
医药代表	31.0	1
医药代表	31.5	1
医药代表	32.5	5
医药代表	33.0	1
医药代表	34.5	3
医药代表	35.0	2
医药代表	37.5	3
医药代表	39.5	1
医药代表	40.0	5
医药代表	41.5	9
医药代表	42.5	1
医药代表	44.0	2
医药代表	45.0	3
医药代表	46.0	10
医药代表	46.5	2
医药代表	50.0	4
医药代表	52.5	1
医药代表	55.0	2
医药代表	57.5	1
医药代表	65.0	1
医药代表	81.0	5
医药代表	84.5	3
医药代表	92.5	1
医药代表	100.0	1
口腔科医生	0.5	3
口腔科医生	1.0	60
口腔科医生	1.5	287
口腔科医生	2.0	318
口腔科医生	2.5	536
口腔科医生	3.0	378
口腔科医生	3.5	964
口腔科医生	4.0	740
口腔科医生	4.5	1179
口腔科医生	5.0	498
口腔科医生	5.5	1921
口腔科医生	6.0	605
口腔科医生	6.5	1456
口腔科医生	7.0	333
口腔科医生	7.5	2500
口腔科医生	8.0	655
口腔科医生	8.5	1119
口腔科医生	9.0	345
口腔科医生	9.5	744
口腔科医生	10.0	481
口腔科医生	10.5	2333
口腔科医生	11.0	156
口腔科医生	11.5	286
口腔科医生	12.0	40
口腔科医生	12.5	3003
口腔科医生	13.0	22
口腔科医生	13.5	117
口腔科医生	14.0	44
口腔科医生	14.5	66
口腔科医生	15.0	107
口腔科医生	15.5	239
口腔科医生	16.0	346
口腔科医生	16.5	234
口腔科医生	17.0	38
口腔科医生	17.5	597
口腔科医生	18.0	316
口腔科医生	18.5	28
口腔科医生	19.0	50
口腔科医生	19.5	50
口腔科医生	20.0	339
口腔科医生	20.5	64
口腔科医生	21.0	24
口腔科医生	21.5	38
口腔科医生	22.0	7
口腔科医生	22.5	986
口腔科医生	23.0	27
口腔科医生	23.5	4
口腔科医生	24.0	28
口腔科医生	24.5	4
口腔科医生	25.0	329
口腔科医生	25.5	3
口腔科医生	26.0	2
口腔科医生	26.5	33
口腔科医生	27.0	7
口腔科医生	27.5	75
口腔科医生	29.0	2
口腔科医生	29.5	5
口腔科医生	30.0	411
口腔科医生	30.5	4
口腔科医生	31.0	4
口腔科医生	31.5	2
口腔科医生	32.0	3
口腔科医生	32.5	39
口腔科医生	33.0	5
口腔科医生	34.0	3
口腔科医生	34.5	4
口腔科医生	35.0	23
口腔科医生	37.5	64
口腔科医生	40.0	84
口腔科医生	41.0	1
口腔科医生	42.5	10
口腔科医生	45.0	88
口腔科医生	46.0	1
口腔科医生	47.5	8
口腔科医生	50.0	9
口腔科医生	50.5	1
口腔科医生	52.5	5
口腔科医生	53.0	1
口腔科医生	54.0	3
口腔科医生	55.0	12
口腔科医生	57.5	3
口腔科医生	60.0	8
口腔科医生	62.5	1
口腔科医生	63.0	1
口腔科医生	65.0	19
口腔科医生	70.0	2
口腔科医生	73.0	3
口腔科医生	75.0	7
口腔科医生	77.0	3
口腔科医生	77.5	1
口腔科医生	81.0	1
口腔科医生	84.5	1
口腔科医生	85.0	1
口腔科医生	90.0	1
口腔科医生	95.0	3
口腔科医生	97.5	1
国内电商运营	1.0	36
国内电商运营	1.5	67
国内电商运营	2.0	78
国内电商运营	2.5	334
国内电商运营	3.0	228
国内电商运营	3.5	1572
国内电商运营	4.0	1231
国内电商运营	4.5	2345
国内电商运营	5.0	1347
国内电商运营	5.5	3136
国内电商运营	6.0	1630
国内电商运营	6.5	2368
国内电商运营	7.0	725
国内电商运营	7.5	2640
国内电商运营	8.0	905
国内电商运营	8.5	1069
国内电商运营	9.0	375
国内电商运营	9.5	588
国内电商运营	10.0	502
国内电商运营	10.5	874
国内电商运营	11.0	86
国内电商运营	11.5	160
国内电商运营	12.0	11
国内电商运营	12.5	813
国内电商运营	13.0	9
国内电商运营	13.5	61
国内电商运营	14.0	32
国内电商运营	14.5	20
国内电商运营	15.0	61
国内电商运营	15.5	48
国内电商运营	16.0	98
国内电商运营	16.5	40
国内电商运营	17.0	12
国内电商运营	17.5	120
国内电商运营	18.0	41
国内电商运营	18.5	11
国内电商运营	19.0	6
国内电商运营	19.5	9
国内电商运营	20.0	83
国内电商运营	20.5	7
国内电商运营	21.0	7
国内电商运营	21.5	12
国内电商运营	22.5	94
国内电商运营	23.0	3
国内电商运营	23.5	1
国内电商运营	24.0	8
国内电商运营	25.0	39
国内电商运营	25.5	6
国内电商运营	26.5	7
国内电商运营	27.0	2
国内电商运营	27.5	13
国内电商运营	28.5	1
国内电商运营	30.0	37
国内电商运营	32.5	12
国内电商运营	34.0	2
国内电商运营	35.0	4
国内电商运营	37.5	11
国内电商运营	40.0	15
国内电商运营	41.5	1
国内电商运营	42.5	4
国内电商运营	45.0	7
国内电商运营	47.5	1
国内电商运营	50.0	2
国内电商运营	55.0	1
国内电商运营	62.5	2
国内电商运营	65.0	2
国内电商运营	67.5	1
国内电商运营	72.5	1
国内电商运营	75.0	2
国内电商运营	85.0	1
国内电商运营	95.0	1
实验室技术员	1.0	2
实验室技术员	1.5	49
实验室技术员	2.0	60
实验室技术员	2.5	350
实验室技术员	3.0	233
实验室技术员	3.5	1715
实验室技术员	4.0	1507
实验室技术员	4.5	2540
实验室技术员	5.0	1782
实验室技术员	5.5	1712
实验室技术员	6.0	1088
实验室技术员	6.5	1043
实验室技术员	7.0	479
实验室技术员	7.5	453
实验室技术员	8.0	243
实验室技术员	8.5	183
实验室技术员	9.0	108
实验室技术员	9.5	92
实验室技术员	10.0	93
实验室技术员	10.5	85
实验室技术员	11.0	31
实验室技术员	11.5	32
实验室技术员	12.0	4
实验室技术员	12.5	79
实验室技术员	13.0	2
实验室技术员	13.5	12
实验室技术员	14.0	6
实验室技术员	14.5	2
实验室技术员	15.0	6
实验室技术员	15.5	14
实验室技术员	16.0	6
实验室技术员	16.5	7
实验室技术员	17.5	12
实验室技术员	18.0	3
实验室技术员	18.5	1
实验室技术员	19.0	3
实验室技术员	19.5	1
实验室技术员	20.0	2
实验室技术员	21.0	1
实验室技术员	22.5	7
实验室技术员	25.0	1
实验室技术员	26.0	1
实验室技术员	27.0	1
实验室技术员	32.5	2
实验室技术员	37.5	1
实验室技术员	40.0	1
实验室技术员	42.5	2
实验室技术员	45.0	1
室内设计	0.5	12
室内设计	1.0	78
室内设计	1.5	604
室内设计	2.0	401
室内设计	2.5	961
室内设计	3.0	545
室内设计	3.5	1997
室内设计	4.0	1513
室内设计	4.5	3127
室内设计	5.0	1104
室内设计	5.5	7787
室内设计	6.0	1823
室内设计	6.5	4229
室内设计	7.0	1060
室内设计	7.5	8260
室内设计	8.0	1377
室内设计	8.5	2503
室内设计	9.0	817
室内设计	9.5	1390
室内设计	10.0	1211
室内设计	10.5	2776
室内设计	11.0	190
室内设计	11.5	412
室内设计	12.0	54
室内设计	12.5	2731
室内设计	13.0	55
室内设计	13.5	88
室内设计	14.0	25
室内设计	14.5	39
室内设计	15.0	76
室内设计	15.5	124
室内设计	16.0	169
室内设计	16.5	119
室内设计	17.0	25
室内设计	17.5	292
室内设计	18.0	175
室内设计	18.5	18
室内设计	19.0	17
室内设计	19.5	52
室内设计	20.0	99
室内设计	20.5	42
室内设计	21.0	17
室内设计	21.5	15
室内设计	22.0	6
室内设计	22.5	424
室内设计	23.0	5
室内设计	23.5	9
室内设计	24.0	10
室内设计	24.5	3
室内设计	25.0	90
室内设计	25.5	4
室内设计	26.5	8
室内设计	27.0	9
室内设计	27.5	21
室内设计	28.0	1
室内设计	28.5	3
室内设计	29.0	1
室内设计	30.0	112
室内设计	30.5	1
室内设计	31.0	1
室内设计	32.5	11
室内设计	33.0	2
室内设计	33.5	1
室内设计	34.0	3
室内设计	34.5	1
室内设计	35.0	17
室内设计	37.5	11
室内设计	38.0	1
室内设计	38.5	1
室内设计	40.0	10
室内设计	42.0	1
室内设计	42.5	2
室内设计	45.0	20
室内设计	46.0	3
室内设计	47.5	2
室内设计	50.0	8
室内设计	52.5	6
室内设计	53.5	1
室内设计	54.0	1
