name	cnt
室内设计	49300
平面设计	30402
新媒体运营	28176
口腔科医生	26035
护士	24622
视频剪辑	24595
国内电商运营	24084
医药代表	22033
项目经理/主管	21960
运维工程师	20014
质量管理/测试工程师	19940
汽车销售	19877
运营经理/主管	19279
电气工程师	19214
运营助理/专员	18997
跨境电商运营	17637
车间主任	15525
摄影/摄像师	15067
实验室技术员	14060
工艺工程师	13665
机械工程师	13661
直播运营	13627
售后技术支持	13520
数据标注/AI训练师	13143
带货主播	12707
医生助理	12592
外贸业务员	11328
中医	10811
项目专员/助理	10712
生产计划/物料管理(pmc)	10192
全屋定制设计师	10055
仓库管理员	10026
内科医生	9846
汽车服务顾问	9734
实施工程师	9728
生产安全员	9692
广告设计	9080
质检员	9027
执业药师/驻店药师	8916
康复治疗师	8893
厂长	8868
IT技术支持	8850
主播	8761
营养师/健康管理师	8619
设计师助理	8262
Java	8187
验光师	7812
视频运营	7709
会计	7651
生产跟单/文员	7628
