w	data_source	cnt
a	BOSS直聘	486376
b	NULL	151834
b	BOSS直聘	8754449
b	东北大学秦皇岛分校就业信息网	48
b	全域智慧就业咨询服务平台	1599
b	前程无忧	620231
b	华北科技学院就业信息网	355
b	启信宝	1498657
b	唐山人才网	876
b	唐山师范学院就业信息网	44
b	唐山幼儿师范高等专科学校就业创业信息网	12
b	廊坊师范学院就业信息网	386
b	廊坊职业技术学院就业信息网	290
b	张家口人才网 - zjkjob.com	74
b	智联招聘	19449
b	沧州交通学院就业信息网	42
b	沧州医学高等专科学校就业信息网	253
b	沧州市人才网	207
b	沧州师范学院就业信息网	26
b	沧州幼儿师范高等专科学校就业指导中心	17
b	河北中医药大学就业信息网	1649
b	河北中医药大学就业信息网(1)	2733
b	河北传媒学院就业创业信息网	2864
b	河北体育学院就业信息网	12
b	河北农业大学就业信息网	208
b	河北化工医药职业技术学院就业信息网	2335
b	河北北方学院就业信息网	5
b	河北医科大学就业信息网	8532
b	河北工业大学就业指导中心	20
b	河北工程大学科信学院就业信息网	2420
b	河北师范大学就业信息网	427
b	河北建材职业技术学院就业网	3737
b	河北民族师范学院就业信息网	14
b	河北水利电力学院就业信息网	82
b	河北省人才网	1333
b	河北石油职业技术大学就业信息网	20
b	河北科技大学就业信息网	293
b	河北科技师范学院就业信息网	57
b	河北经贸大学就业信息网	381
b	河北经贸大学经济管理学院	4528
b	河北美术学院就业网	143
b	河北软件职业技术学院就业信息网	1359
b	石家庄信息工程职业学院就业信息网	29
b	石家庄医学高等专科学校就业信息网	27
b	石家庄职业技术学院就业信息网	99
b	石家庄邮电职业技术学院就业信息网	8
b	秦皇岛职业技术学院就业网	2386
b	衡水学院就业信息服务网	39
b	衡水职业学院就业信息服务网	44
